group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kmerge,,,,,619333.0,ns,2
kmerge,,,,,1223141.0,ns,4
kmerge,,,,,1832472.0,ns,6
kmerge,,,,,2441345.0,ns,8
kmerge,,,,,3110529.0,ns,10
kmerge,,,,,3759190.0,ns,12
kmerge,,,,,4411592.0,ns,14
kmerge,,,,,5069849.0,ns,16
kmerge,,,,,5574974.0,ns,18
kmerge,,,,,6249984.0,ns,20
kmerge,,,,,6767243.0,ns,22
kmerge,,,,,7523525.0,ns,24
kmerge,,,,,8077403.0,ns,26
kmerge,,,,,8691506.0,ns,28
kmerge,,,,,9304266.0,ns,30
kmerge,,,,,9877921.0,ns,32
kmerge,,,,,10465174.0,ns,34
kmerge,,,,,11044583.0,ns,36
kmerge,,,,,11657898.0,ns,38
kmerge,,,,,12272152.0,ns,40
kmerge,,,,,12950475.0,ns,42
kmerge,,,,,14083956.0,ns,44
kmerge,,,,,14176676.0,ns,46
kmerge,,,,,15094686.0,ns,48
kmerge,,,,,15415716.0,ns,50
kmerge,,,,,16297728.0,ns,52
kmerge,,,,,17035325.0,ns,54
kmerge,,,,,17733833.0,ns,56
kmerge,,,,,18009848.0,ns,58
kmerge,,,,,18644495.0,ns,60
kmerge,,,,,19209527.0,ns,62
kmerge,,,,,19800912.0,ns,64
kmerge,,,,,20505621.0,ns,66
kmerge,,,,,21212659.0,ns,68
kmerge,,,,,22124055.0,ns,70
kmerge,,,,,22843448.0,ns,72
kmerge,,,,,23522292.0,ns,74
kmerge,,,,,23585894.0,ns,76
kmerge,,,,,24153524.0,ns,78
kmerge,,,,,24825118.0,ns,80
kmerge,,,,,25647400.0,ns,82
kmerge,,,,,26308803.0,ns,84
kmerge,,,,,26847037.0,ns,86
kmerge,,,,,28071457.0,ns,88
kmerge,,,,,28690661.0,ns,90
kmerge,,,,,29390533.0,ns,92
kmerge,,,,,29926188.0,ns,94
kmerge,,,,,30141515.0,ns,96
kmerge,,,,,30717438.0,ns,98
kmerge,,,,,31434354.0,ns,100
kmerge,,,,,32049080.0,ns,102
kmerge,,,,,32717175.0,ns,104
kmerge,,,,,33256910.0,ns,106
kmerge,,,,,33943021.0,ns,108
kmerge,,,,,34815181.0,ns,110
kmerge,,,,,35205907.0,ns,112
kmerge,,,,,35900581.0,ns,114
kmerge,,,,,36575569.0,ns,116
kmerge,,,,,37305110.0,ns,118
kmerge,,,,,37722618.0,ns,120
kmerge,,,,,38849422.0,ns,122
kmerge,,,,,40023027.0,ns,124
kmerge,,,,,40565904.0,ns,126
kmerge,,,,,41124419.0,ns,128
kmerge,,,,,41853711.0,ns,130
kmerge,,,,,43492426.0,ns,132
kmerge,,,,,43336152.0,ns,134
kmerge,,,,,43733277.0,ns,136
kmerge,,,,,43816273.0,ns,138
kmerge,,,,,44543540.0,ns,140
kmerge,,,,,44968439.0,ns,142
kmerge,,,,,45752723.0,ns,144
kmerge,,,,,46855911.0,ns,146
kmerge,,,,,47892548.0,ns,148
kmerge,,,,,48782524.0,ns,150
kmerge,,,,,48973980.0,ns,152
kmerge,,,,,49074204.0,ns,154
kmerge,,,,,49745214.0,ns,156
kmerge,,,,,50150118.0,ns,158
kmerge,,,,,50762427.0,ns,160
kmerge,,,,,51996541.0,ns,162
kmerge,,,,,54111244.0,ns,164
kmerge,,,,,55304588.0,ns,166
kmerge,,,,,55556121.0,ns,168
kmerge,,,,,55757407.0,ns,170
kmerge,,,,,56263474.0,ns,172
kmerge,,,,,56925300.0,ns,174
kmerge,,,,,58358011.0,ns,176
kmerge,,,,,59220839.0,ns,178
kmerge,,,,,59976084.0,ns,180
kmerge,,,,,60551500.0,ns,182
kmerge,,,,,62068315.0,ns,184
kmerge,,,,,62362080.0,ns,186
kmerge,,,,,61721221.0,ns,188
kmerge,,,,,62376724.0,ns,190
kmerge,,,,,62883947.0,ns,192
kmerge,,,,,63714029.0,ns,194
kmerge,,,,,64258607.0,ns,196
kmerge,,,,,69012626.0,ns,198
kmerge,,,,,70586139.0,ns,200
