group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kmerge,,,,,1071046.0,ns,3
kmerge,,,,,2141703.0,ns,6
kmerge,,,,,3272617.0,ns,9
kmerge,,,,,4295815.0,ns,12
kmerge,,,,,5353437.0,ns,15
kmerge,,,,,6425069.0,ns,18
kmerge,,,,,7887355.0,ns,21
kmerge,,,,,8933358.0,ns,24
kmerge,,,,,9667306.0,ns,27
kmerge,,,,,10772186.0,ns,30
kmerge,,,,,11781158.0,ns,33
kmerge,,,,,12850707.0,ns,36
kmerge,,,,,13923763.0,ns,39
kmerge,,,,,14995685.0,ns,42
kmerge,,,,,16064363.0,ns,45
kmerge,,,,,17135565.0,ns,48
kmerge,,,,,18212962.0,ns,51
kmerge,,,,,19301287.0,ns,54
kmerge,,,,,20347909.0,ns,57
kmerge,,,,,21420847.0,ns,60
kmerge,,,,,22486414.0,ns,63
kmerge,,,,,23566970.0,ns,66
kmerge,,,,,24633406.0,ns,69
kmerge,,,,,25743097.0,ns,72
kmerge,,,,,27370935.0,ns,75
kmerge,,,,,27861355.0,ns,78
kmerge,,,,,28914610.0,ns,81
kmerge,,,,,29989397.0,ns,84
kmerge,,,,,31054922.0,ns,87
kmerge,,,,,32125280.0,ns,90
kmerge,,,,,33196462.0,ns,93
kmerge,,,,,34272387.0,ns,96
kmerge,,,,,35335186.0,ns,99
kmerge,,,,,36963862.0,ns,102
kmerge,,,,,37491580.0,ns,105
kmerge,,,,,38548472.0,ns,108
kmerge,,,,,39644013.0,ns,111
kmerge,,,,,40716955.0,ns,114
kmerge,,,,,41889027.0,ns,117
kmerge,,,,,42841836.0,ns,120
kmerge,,,,,43914951.0,ns,123
kmerge,,,,,44979872.0,ns,126
kmerge,,,,,46057393.0,ns,129
kmerge,,,,,47139254.0,ns,132
kmerge,,,,,48214763.0,ns,135
kmerge,,,,,49267789.0,ns,138
kmerge,,,,,50338158.0,ns,141
kmerge,,,,,52124817.0,ns,144
kmerge,,,,,52540690.0,ns,147
kmerge,,,,,54279433.0,ns,150
kmerge,,,,,54796438.0,ns,153
kmerge,,,,,55841055.0,ns,156
kmerge,,,,,56945068.0,ns,159
kmerge,,,,,58032825.0,ns,162
kmerge,,,,,59084525.0,ns,165
kmerge,,,,,60209633.0,ns,168
kmerge,,,,,61084308.0,ns,171
kmerge,,,,,62620835.0,ns,174
kmerge,,,,,63252098.0,ns,177
kmerge,,,,,64308094.0,ns,180
kmerge,,,,,65426956.0,ns,183
kmerge,,,,,66408181.0,ns,186
kmerge,,,,,67490881.0,ns,189
kmerge,,,,,68589520.0,ns,192
kmerge,,,,,69629286.0,ns,195
kmerge,,,,,71135583.0,ns,198
kmerge,,,,,71864130.0,ns,201
kmerge,,,,,72822584.0,ns,204
kmerge,,,,,73979341.0,ns,207
kmerge,,,,,75084976.0,ns,210
kmerge,,,,,76018874.0,ns,213
kmerge,,,,,77098767.0,ns,216
kmerge,,,,,78234444.0,ns,219
kmerge,,,,,79240703.0,ns,222
kmerge,,,,,80300791.0,ns,225
kmerge,,,,,81380751.0,ns,228
kmerge,,,,,82488375.0,ns,231
kmerge,,,,,83561920.0,ns,234
kmerge,,,,,85041414.0,ns,237
kmerge,,,,,85678007.0,ns,240
kmerge,,,,,86736110.0,ns,243
kmerge,,,,,87850099.0,ns,246
kmerge,,,,,88916795.0,ns,249
kmerge,,,,,89997520.0,ns,252
kmerge,,,,,91100939.0,ns,255
kmerge,,,,,94013010.0,ns,258
kmerge,,,,,96290018.0,ns,261
kmerge,,,,,94571431.0,ns,264
kmerge,,,,,96338093.0,ns,267
kmerge,,,,,96916972.0,ns,270
kmerge,,,,,97439413.0,ns,273
kmerge,,,,,98552080.0,ns,276
kmerge,,,,,99581507.0,ns,279
kmerge,,,,,100679804.0,ns,282
kmerge,,,,,101756945.0,ns,285
kmerge,,,,,102778444.0,ns,288
kmerge,,,,,103921452.0,ns,291
kmerge,,,,,106642114.0,ns,294
kmerge,,,,,106050570.0,ns,297
kmerge,,,,,108530872.0,ns,300
