group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
merge,,,,,1289570.0,ns,4
merge,,,,,2578734.0,ns,8
merge,,,,,3864541.0,ns,12
merge,,,,,5179983.0,ns,16
merge,,,,,6441804.0,ns,20
merge,,,,,8033760.0,ns,24
merge,,,,,9123014.0,ns,28
merge,,,,,10422718.0,ns,32
merge,,,,,11622249.0,ns,36
merge,,,,,12888553.0,ns,40
merge,,,,,14178300.0,ns,44
merge,,,,,15468027.0,ns,48
merge,,,,,16757591.0,ns,52
merge,,,,,18045079.0,ns,56
merge,,,,,19331784.0,ns,60
merge,,,,,20623839.0,ns,64
merge,,,,,21970522.0,ns,68
merge,,,,,23261535.0,ns,72
merge,,,,,24936842.0,ns,76
merge,,,,,25775616.0,ns,80
merge,,,,,27068461.0,ns,84
merge,,,,,28355779.0,ns,88
merge,,,,,29645700.0,ns,92
merge,,,,,30964991.0,ns,96
merge,,,,,32222925.0,ns,100
merge,,,,,33535573.0,ns,104
merge,,,,,34822142.0,ns,108
merge,,,,,36111604.0,ns,112
merge,,,,,37426520.0,ns,116
merge,,,,,38666626.0,ns,120
merge,,,,,39955851.0,ns,124
merge,,,,,41244151.0,ns,128
merge,,,,,42801428.0,ns,132
merge,,,,,44115373.0,ns,136
merge,,,,,45299570.0,ns,140
merge,,,,,47331998.0,ns,144
merge,,,,,48059124.0,ns,148
merge,,,,,49135718.0,ns,152
merge,,,,,51449369.0,ns,156
merge,,,,,52131428.0,ns,160
merge,,,,,53635332.0,ns,164
merge,,,,,55556907.0,ns,168
merge,,,,,56112501.0,ns,172
merge,,,,,56714142.0,ns,176
merge,,,,,58020312.0,ns,180
merge,,,,,59298582.0,ns,184
merge,,,,,61211874.0,ns,188
merge,,,,,61871326.0,ns,192
merge,,,,,63159372.0,ns,196
merge,,,,,64451646.0,ns,200
merge,,,,,66248198.0,ns,204
merge,,,,,68726151.0,ns,208
merge,,,,,68821347.0,ns,212
merge,,,,,70027455.0,ns,216
merge,,,,,71301559.0,ns,220
merge,,,,,73151089.0,ns,224
merge,,,,,74106857.0,ns,228
merge,,,,,75380326.0,ns,232
merge,,,,,77452886.0,ns,236
merge,,,,,77337913.0,ns,240
merge,,,,,79733858.0,ns,244
merge,,,,,79913465.0,ns,248
merge,,,,,81202493.0,ns,252
merge,,,,,83121871.0,ns,256
merge,,,,,84708099.0,ns,260
merge,,,,,85304766.0,ns,264
merge,,,,,88056871.0,ns,268
merge,,,,,87925027.0,ns,272
merge,,,,,89507439.0,ns,276
merge,,,,,90263693.0,ns,280
merge,,,,,91511234.0,ns,284
merge,,,,,92807706.0,ns,288
merge,,,,,94115085.0,ns,292
merge,,,,,95378165.0,ns,296
merge,,,,,96714221.0,ns,300
merge,,,,,99176357.0,ns,304
merge,,,,,99246755.0,ns,308
merge,,,,,100538371.0,ns,312
merge,,,,,101842719.0,ns,316
merge,,,,,103159055.0,ns,320
merge,,,,,104446779.0,ns,324
merge,,,,,105756678.0,ns,328
merge,,,,,107003201.0,ns,332
merge,,,,,108335513.0,ns,336
merge,,,,,109639932.0,ns,340
merge,,,,,112177547.0,ns,344
merge,,,,,112262645.0,ns,348
merge,,,,,113428481.0,ns,352
merge,,,,,114750174.0,ns,356
merge,,,,,116063717.0,ns,360
merge,,,,,117337387.0,ns,364
merge,,,,,118667562.0,ns,368
merge,,,,,119864334.0,ns,372
merge,,,,,121555238.0,ns,376
merge,,,,,122509325.0,ns,380
merge,,,,,123841358.0,ns,384
merge,,,,,125088010.0,ns,388
merge,,,,,126438429.0,ns,392
merge,,,,,127634322.0,ns,396
merge,,,,,128974781.0,ns,400
