group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
merge,,,,,584078.0,ns,2
merge,,,,,1088006.0,ns,4
merge,,,,,1748672.0,ns,6
merge,,,,,2210130.0,ns,8
merge,,,,,2714120.0,ns,10
merge,,,,,3351250.0,ns,12
merge,,,,,3898925.0,ns,14
merge,,,,,4633271.0,ns,16
merge,,,,,5039242.0,ns,18
merge,,,,,5555438.0,ns,20
merge,,,,,6120962.0,ns,22
merge,,,,,6626502.0,ns,24
merge,,,,,7169318.0,ns,26
merge,,,,,7899975.0,ns,28
merge,,,,,8254026.0,ns,30
merge,,,,,8966329.0,ns,32
merge,,,,,9514632.0,ns,34
merge,,,,,10046169.0,ns,36
merge,,,,,10811376.0,ns,38
merge,,,,,11230089.0,ns,40
merge,,,,,11757884.0,ns,42
merge,,,,,12378842.0,ns,44
merge,,,,,12949546.0,ns,46
merge,,,,,13473211.0,ns,48
merge,,,,,14178002.0,ns,50
merge,,,,,14586669.0,ns,52
merge,,,,,15215801.0,ns,54
merge,,,,,15769012.0,ns,56
merge,,,,,16244001.0,ns,58
merge,,,,,16954248.0,ns,60
merge,,,,,17957973.0,ns,62
merge,,,,,18195279.0,ns,64
merge,,,,,18754883.0,ns,66
merge,,,,,19502075.0,ns,68
merge,,,,,20221883.0,ns,70
merge,,,,,20565862.0,ns,72
merge,,,,,21210265.0,ns,74
merge,,,,,21761602.0,ns,76
merge,,,,,22339847.0,ns,78
merge,,,,,23107210.0,ns,80
merge,,,,,23891628.0,ns,82
merge,,,,,24147513.0,ns,84
merge,,,,,24718187.0,ns,86
merge,,,,,25391101.0,ns,88
merge,,,,,25558016.0,ns,90
merge,,,,,26103429.0,ns,92
merge,,,,,26749937.0,ns,94
merge,,,,,27252658.0,ns,96
merge,,,,,27931393.0,ns,98
merge,,,,,28379994.0,ns,100
merge,,,,,29427829.0,ns,102
merge,,,,,30225187.0,ns,104
merge,,,,,30747405.0,ns,106
merge,,,,,31335779.0,ns,108
merge,,,,,31868620.0,ns,110
merge,,,,,32638154.0,ns,112
merge,,,,,33086357.0,ns,114
merge,,,,,33504429.0,ns,116
merge,,,,,33980820.0,ns,118
merge,,,,,34636124.0,ns,120
merge,,,,,34883703.0,ns,122
merge,,,,,35508995.0,ns,124
merge,,,,,36172324.0,ns,126
merge,,,,,36835838.0,ns,128
merge,,,,,37683734.0,ns,130
merge,,,,,38460807.0,ns,132
merge,,,,,39082537.0,ns,134
merge,,,,,39657455.0,ns,136
merge,,,,,40245726.0,ns,138
merge,,,,,41065008.0,ns,140
merge,,,,,41271802.0,ns,142
merge,,,,,42107996.0,ns,144
merge,,,,,42357440.0,ns,146
merge,,,,,43626909.0,ns,148
merge,,,,,46190590.0,ns,150
merge,,,,,48149839.0,ns,152
merge,,,,,48450310.0,ns,154
merge,,,,,48608002.0,ns,156
merge,,,,,48078153.0,ns,158
merge,,,,,46982729.0,ns,160
merge,,,,,47234715.0,ns,162
merge,,,,,48619229.0,ns,164
merge,,,,,48898039.0,ns,166
merge,,,,,49434611.0,ns,168
merge,,,,,50026935.0,ns,170
merge,,,,,49976543.0,ns,172
merge,,,,,50980334.0,ns,174
merge,,,,,51902186.0,ns,176
merge,,,,,52128179.0,ns,178
merge,,,,,52517860.0,ns,180
merge,,,,,53386710.0,ns,182
merge,,,,,54284630.0,ns,184
merge,,,,,54635464.0,ns,186
merge,,,,,54680111.0,ns,188
merge,,,,,55725695.0,ns,190
merge,,,,,56457525.0,ns,192
merge,,,,,56679158.0,ns,194
merge,,,,,57142589.0,ns,196
merge,,,,,57276283.0,ns,198
merge,,,,,57838577.0,ns,200
