group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
merge_n,,2,,,1108323.0,ns,3
merge_n,,2,,,2212852.0,ns,6
merge_n,,2,,,3321173.0,ns,9
merge_n,,2,,,4424561.0,ns,12
merge_n,,2,,,5534213.0,ns,15
merge_n,,2,,,6982863.0,ns,18
merge_n,,2,,,8026003.0,ns,21
merge_n,,2,,,8896070.0,ns,24
merge_n,,2,,,10015223.0,ns,27
merge_n,,2,,,11076571.0,ns,30
merge_n,,2,,,12176885.0,ns,33
merge_n,,2,,,13281499.0,ns,36
merge_n,,2,,,14428431.0,ns,39
merge_n,,2,,,15496576.0,ns,42
merge_n,,2,,,16602429.0,ns,45
merge_n,,2,,,17706004.0,ns,48
merge_n,,2,,,18810642.0,ns,51
merge_n,,2,,,19919015.0,ns,54
merge_n,,2,,,21023140.0,ns,57
merge_n,,2,,,22134847.0,ns,60
merge_n,,2,,,23257831.0,ns,63
merge_n,,2,,,24966767.0,ns,66
merge_n,,2,,,25613317.0,ns,69
merge_n,,2,,,26608040.0,ns,72
merge_n,,2,,,27740540.0,ns,75
merge_n,,2,,,29708174.0,ns,78
merge_n,,2,,,30171079.0,ns,81
merge_n,,2,,,31178825.0,ns,84
merge_n,,2,,,32180879.0,ns,87
merge_n,,2,,,33271518.0,ns,90
merge_n,,2,,,34377521.0,ns,93
merge_n,,2,,,35481512.0,ns,96
merge_n,,2,,,37210017.0,ns,99
merge_n,,2,,,37713491.0,ns,102
merge_n,,2,,,38727151.0,ns,105
merge_n,,2,,,39833150.0,ns,108
merge_n,,2,,,40963638.0,ns,111
merge_n,,2,,,42050577.0,ns,114
merge_n,,2,,,43171613.0,ns,117
merge_n,,2,,,44272161.0,ns,120
merge_n,,2,,,45382075.0,ns,123
merge_n,,2,,,46471548.0,ns,126
merge_n,,2,,,47573771.0,ns,129
merge_n,,2,,,48728212.0,ns,132
merge_n,,2,,,49791100.0,ns,135
merge_n,,2,,,50894768.0,ns,138
merge_n,,2,,,52729204.0,ns,141
merge_n,,2,,,53648400.0,ns,144
merge_n,,2,,,54359717.0,ns,147
merge_n,,2,,,55495286.0,ns,150
merge_n,,2,,,56989766.0,ns,153
merge_n,,2,,,58270278.0,ns,156
merge_n,,2,,,59268582.0,ns,159
merge_n,,2,,,59924825.0,ns,162
merge_n,,2,,,60861924.0,ns,165
merge_n,,2,,,61972101.0,ns,168
merge_n,,2,,,63667759.0,ns,171
merge_n,,2,,,64318916.0,ns,174
merge_n,,2,,,65278872.0,ns,177
merge_n,,2,,,66490319.0,ns,180
merge_n,,2,,,67541330.0,ns,183
merge_n,,2,,,68598400.0,ns,186
merge_n,,2,,,69693621.0,ns,189
merge_n,,2,,,71232303.0,ns,192
merge_n,,2,,,72916367.0,ns,195
merge_n,,2,,,74486872.0,ns,198
merge_n,,2,,,74293229.0,ns,201
merge_n,,2,,,76121921.0,ns,204
merge_n,,2,,,76476161.0,ns,207
merge_n,,2,,,78154757.0,ns,210
merge_n,,2,,,78563836.0,ns,213
merge_n,,2,,,79705250.0,ns,216
merge_n,,2,,,80852708.0,ns,219
merge_n,,2,,,82656597.0,ns,222
merge_n,,2,,,83016553.0,ns,225
merge_n,,2,,,84159333.0,ns,228
merge_n,,2,,,85826940.0,ns,231
merge_n,,2,,,88154877.0,ns,234
merge_n,,2,,,89779102.0,ns,237
merge_n,,2,,,90886113.0,ns,240
merge_n,,2,,,90715383.0,ns,243
merge_n,,2,,,90955807.0,ns,246
merge_n,,2,,,91835835.0,ns,249
merge_n,,2,,,92931895.0,ns,252
merge_n,,2,,,94160344.0,ns,255
merge_n,,2,,,95219458.0,ns,258
merge_n,,2,,,96958274.0,ns,261
merge_n,,2,,,98429006.0,ns,264
merge_n,,2,,,98934962.0,ns,267
merge_n,,2,,,100293315.0,ns,270
merge_n,,2,,,100919688.0,ns,273
merge_n,,2,,,101798460.0,ns,276
merge_n,,2,,,103360472.0,ns,279
merge_n,,2,,,104025857.0,ns,282
merge_n,,2,,,105161420.0,ns,285
merge_n,,2,,,106264851.0,ns,288
merge_n,,2,,,107921069.0,ns,291
merge_n,,2,,,110064164.0,ns,294
merge_n,,2,,,110496899.0,ns,297
merge_n,,2,,,113183476.0,ns,300
