group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
merge_n,,6,,,723961.0,ns,2
merge_n,,6,,,1422195.0,ns,4
merge_n,,6,,,2215469.0,ns,6
merge_n,,6,,,2845684.0,ns,8
merge_n,,6,,,3683810.0,ns,10
merge_n,,6,,,4294995.0,ns,12
merge_n,,6,,,4941575.0,ns,14
merge_n,,6,,,5603726.0,ns,16
merge_n,,6,,,6178866.0,ns,18
merge_n,,6,,,6919780.0,ns,20
merge_n,,6,,,7820865.0,ns,22
merge_n,,6,,,8851630.0,ns,24
merge_n,,6,,,9508774.0,ns,26
merge_n,,6,,,9798680.0,ns,28
merge_n,,6,,,10583872.0,ns,30
merge_n,,6,,,11532726.0,ns,32
merge_n,,6,,,12222518.0,ns,34
merge_n,,6,,,12712771.0,ns,36
merge_n,,6,,,13186241.0,ns,38
merge_n,,6,,,13966984.0,ns,40
merge_n,,6,,,14701090.0,ns,42
merge_n,,6,,,15402778.0,ns,44
merge_n,,6,,,16261266.0,ns,46
merge_n,,6,,,16459299.0,ns,48
merge_n,,6,,,17649283.0,ns,50
merge_n,,6,,,18138269.0,ns,52
merge_n,,6,,,18979497.0,ns,54
merge_n,,6,,,19525829.0,ns,56
merge_n,,6,,,20311168.0,ns,58
merge_n,,6,,,20874079.0,ns,60
merge_n,,6,,,21910417.0,ns,62
merge_n,,6,,,22226837.0,ns,64
merge_n,,6,,,23213960.0,ns,66
merge_n,,6,,,23871571.0,ns,68
merge_n,,6,,,24476176.0,ns,70
merge_n,,6,,,25348797.0,ns,72
merge_n,,6,,,26087955.0,ns,74
merge_n,,6,,,26758953.0,ns,76
merge_n,,6,,,27442409.0,ns,78
merge_n,,6,,,27988275.0,ns,80
merge_n,,6,,,28738239.0,ns,82
merge_n,,6,,,29491827.0,ns,84
merge_n,,6,,,30350423.0,ns,86
merge_n,,6,,,30918382.0,ns,88
merge_n,,6,,,31647772.0,ns,90
merge_n,,6,,,32711730.0,ns,92
merge_n,,6,,,33085805.0,ns,94
merge_n,,6,,,33890192.0,ns,96
merge_n,,6,,,34481324.0,ns,98
merge_n,,6,,,35333982.0,ns,100
merge_n,,6,,,35875528.0,ns,102
merge_n,,6,,,36705875.0,ns,104
merge_n,,6,,,37392232.0,ns,106
merge_n,,6,,,37968775.0,ns,108
merge_n,,6,,,38752636.0,ns,110
merge_n,,6,,,39805899.0,ns,112
merge_n,,6,,,40007324.0,ns,114
merge_n,,6,,,41322304.0,ns,116
merge_n,,6,,,41309935.0,ns,118
merge_n,,6,,,42680775.0,ns,120
merge_n,,6,,,42809595.0,ns,122
merge_n,,6,,,43817266.0,ns,124
merge_n,,6,,,44584557.0,ns,126
merge_n,,6,,,45342549.0,ns,128
merge_n,,6,,,46268177.0,ns,130
merge_n,,6,,,46419932.0,ns,132
merge_n,,6,,,47574872.0,ns,134
merge_n,,6,,,48094862.0,ns,136
merge_n,,6,,,49041425.0,ns,138
merge_n,,6,,,49586682.0,ns,140
merge_n,,6,,,50613059.0,ns,142
merge_n,,6,,,50961233.0,ns,144
merge_n,,6,,,51832205.0,ns,146
merge_n,,6,,,52571041.0,ns,148
merge_n,,6,,,53252584.0,ns,150
merge_n,,6,,,53828785.0,ns,152
merge_n,,6,,,54273535.0,ns,154
merge_n,,6,,,55350166.0,ns,156
merge_n,,6,,,56147489.0,ns,158
merge_n,,6,,,56826029.0,ns,160
merge_n,,6,,,57856134.0,ns,162
merge_n,,6,,,58815354.0,ns,164
merge_n,,6,,,58870973.0,ns,166
merge_n,,6,,,59560445.0,ns,168
merge_n,,6,,,60415560.0,ns,170
merge_n,,6,,,60909578.0,ns,172
merge_n,,6,,,62659147.0,ns,174
merge_n,,6,,,62845247.0,ns,176
merge_n,,6,,,63374156.0,ns,178
merge_n,,6,,,63754596.0,ns,180
merge_n,,6,,,64949785.0,ns,182
merge_n,,6,,,65259683.0,ns,184
merge_n,,6,,,66431327.0,ns,186
merge_n,,6,,,66813119.0,ns,188
merge_n,,6,,,67560499.0,ns,190
merge_n,,6,,,68264422.0,ns,192
merge_n,,6,,,68853316.0,ns,194
merge_n,,6,,,69364935.0,ns,196
merge_n,,6,,,70016866.0,ns,198
merge_n,,6,,,71097343.0,ns,200
