group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mergesort_n,,1,,,1626725.0,ns,1
mergesort_n,,1,,,3259800.0,ns,2
mergesort_n,,1,,,4863496.0,ns,3
mergesort_n,,1,,,6471335.0,ns,4
mergesort_n,,1,,,8261986.0,ns,5
mergesort_n,,1,,,9882067.0,ns,6
mergesort_n,,1,,,11910604.0,ns,7
mergesort_n,,1,,,13215357.0,ns,8
mergesort_n,,1,,,14684026.0,ns,9
mergesort_n,,1,,,16306022.0,ns,10
mergesort_n,,1,,,17966080.0,ns,11
mergesort_n,,1,,,19510189.0,ns,12
mergesort_n,,1,,,20991331.0,ns,13
mergesort_n,,1,,,22679873.0,ns,14
mergesort_n,,1,,,24364417.0,ns,15
mergesort_n,,1,,,25990699.0,ns,16
mergesort_n,,1,,,27756056.0,ns,17
mergesort_n,,1,,,29702874.0,ns,18
mergesort_n,,1,,,31193713.0,ns,19
mergesort_n,,1,,,32552990.0,ns,20
mergesort_n,,1,,,34101405.0,ns,21
mergesort_n,,1,,,36769425.0,ns,22
mergesort_n,,1,,,37559940.0,ns,23
mergesort_n,,1,,,39155695.0,ns,24
mergesort_n,,1,,,40864046.0,ns,25
mergesort_n,,1,,,42121873.0,ns,26
mergesort_n,,1,,,43940529.0,ns,27
mergesort_n,,1,,,45670906.0,ns,28
mergesort_n,,1,,,47097953.0,ns,29
mergesort_n,,1,,,49515227.0,ns,30
mergesort_n,,1,,,51097510.0,ns,31
mergesort_n,,1,,,52180014.0,ns,32
mergesort_n,,1,,,54240027.0,ns,33
mergesort_n,,1,,,55760027.0,ns,34
mergesort_n,,1,,,57183986.0,ns,35
mergesort_n,,1,,,58932523.0,ns,36
mergesort_n,,1,,,60229713.0,ns,37
mergesort_n,,1,,,63257266.0,ns,38
mergesort_n,,1,,,63413452.0,ns,39
mergesort_n,,1,,,65550404.0,ns,40
mergesort_n,,1,,,67340981.0,ns,41
mergesort_n,,1,,,68992443.0,ns,42
mergesort_n,,1,,,70464918.0,ns,43
mergesort_n,,1,,,72717783.0,ns,44
mergesort_n,,1,,,74199633.0,ns,45
mergesort_n,,1,,,75257045.0,ns,46
mergesort_n,,1,,,76641825.0,ns,47
mergesort_n,,1,,,78267212.0,ns,48
mergesort_n,,1,,,80292545.0,ns,49
mergesort_n,,1,,,82027058.0,ns,50
mergesort_n,,1,,,84513609.0,ns,51
mergesort_n,,1,,,84958624.0,ns,52
mergesort_n,,1,,,86581985.0,ns,53
mergesort_n,,1,,,88088813.0,ns,54
mergesort_n,,1,,,89757794.0,ns,55
mergesort_n,,1,,,92330674.0,ns,56
mergesort_n,,1,,,93885528.0,ns,57
mergesort_n,,1,,,104986347.0,ns,58
mergesort_n,,1,,,95842395.0,ns,59
mergesort_n,,1,,,108095477.0,ns,60
mergesort_n,,1,,,100511309.0,ns,61
mergesort_n,,1,,,102410886.0,ns,62
mergesort_n,,1,,,103968365.0,ns,63
mergesort_n,,1,,,105055868.0,ns,64
mergesort_n,,1,,,106695299.0,ns,65
mergesort_n,,1,,,108359411.0,ns,66
mergesort_n,,1,,,110419387.0,ns,67
mergesort_n,,1,,,111571382.0,ns,68
mergesort_n,,1,,,112483941.0,ns,69
mergesort_n,,1,,,115912756.0,ns,70
mergesort_n,,1,,,116895448.0,ns,71
mergesort_n,,1,,,118885415.0,ns,72
mergesort_n,,1,,,120203301.0,ns,73
mergesort_n,,1,,,122086731.0,ns,74
mergesort_n,,1,,,123030959.0,ns,75
mergesort_n,,1,,,125823543.0,ns,76
mergesort_n,,1,,,127687125.0,ns,77
mergesort_n,,1,,,128552991.0,ns,78
mergesort_n,,1,,,129589479.0,ns,79
mergesort_n,,1,,,130727720.0,ns,80
mergesort_n,,1,,,133724041.0,ns,81
mergesort_n,,1,,,135029255.0,ns,82
mergesort_n,,1,,,136559597.0,ns,83
mergesort_n,,1,,,137721355.0,ns,84
mergesort_n,,1,,,139110875.0,ns,85
mergesort_n,,1,,,140998916.0,ns,86
mergesort_n,,1,,,142655948.0,ns,87
mergesort_n,,1,,,145453702.0,ns,88
mergesort_n,,1,,,146366389.0,ns,89
mergesort_n,,1,,,147606422.0,ns,90
mergesort_n,,1,,,149934589.0,ns,91
mergesort_n,,1,,,151234966.0,ns,92
mergesort_n,,1,,,152803022.0,ns,93
mergesort_n,,1,,,155760362.0,ns,94
mergesort_n,,1,,,164855286.0,ns,95
mergesort_n,,1,,,169909570.0,ns,96
mergesort_n,,1,,,159692634.0,ns,97
mergesort_n,,1,,,160445781.0,ns,98
mergesort_n,,1,,,162705277.0,ns,99
mergesort_n,,1,,,164452868.0,ns,100
