group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mergesort_par_n,,2,,,918247.0,ns,1
mergesort_par_n,,2,,,1857754.0,ns,2
mergesort_par_n,,2,,,2810605.0,ns,3
mergesort_par_n,,2,,,3769300.0,ns,4
mergesort_par_n,,2,,,4561832.0,ns,5
mergesort_par_n,,2,,,5516040.0,ns,6
mergesort_par_n,,2,,,6617585.0,ns,7
mergesort_par_n,,2,,,7393614.0,ns,8
mergesort_par_n,,2,,,8267309.0,ns,9
mergesort_par_n,,2,,,9046613.0,ns,10
mergesort_par_n,,2,,,10044851.0,ns,11
mergesort_par_n,,2,,,10900738.0,ns,12
mergesort_par_n,,2,,,11932760.0,ns,13
mergesort_par_n,,2,,,13280777.0,ns,14
mergesort_par_n,,2,,,13562265.0,ns,15
mergesort_par_n,,2,,,14557906.0,ns,16
mergesort_par_n,,2,,,15597385.0,ns,17
mergesort_par_n,,2,,,16980591.0,ns,18
mergesort_par_n,,2,,,17136571.0,ns,19
mergesort_par_n,,2,,,18779525.0,ns,20
mergesort_par_n,,2,,,19031118.0,ns,21
mergesort_par_n,,2,,,20168563.0,ns,22
mergesort_par_n,,2,,,21203531.0,ns,23
mergesort_par_n,,2,,,22223089.0,ns,24
mergesort_par_n,,2,,,22740351.0,ns,25
mergesort_par_n,,2,,,23816375.0,ns,26
mergesort_par_n,,2,,,24986368.0,ns,27
mergesort_par_n,,2,,,25724285.0,ns,28
mergesort_par_n,,2,,,26995623.0,ns,29
mergesort_par_n,,2,,,27103265.0,ns,30
mergesort_par_n,,2,,,28246045.0,ns,31
mergesort_par_n,,2,,,29446419.0,ns,32
mergesort_par_n,,2,,,29578045.0,ns,33
mergesort_par_n,,2,,,31113986.0,ns,34
mergesort_par_n,,2,,,32362620.0,ns,35
mergesort_par_n,,2,,,32749654.0,ns,36
mergesort_par_n,,2,,,34150211.0,ns,37
mergesort_par_n,,2,,,35697153.0,ns,38
mergesort_par_n,,2,,,35481519.0,ns,39
mergesort_par_n,,2,,,37066404.0,ns,40
mergesort_par_n,,2,,,37130026.0,ns,41
mergesort_par_n,,2,,,38648867.0,ns,42
mergesort_par_n,,2,,,38994655.0,ns,43
mergesort_par_n,,2,,,40119658.0,ns,44
mergesort_par_n,,2,,,41125457.0,ns,45
mergesort_par_n,,2,,,41909250.0,ns,46
mergesort_par_n,,2,,,43268247.0,ns,47
mergesort_par_n,,2,,,43340771.0,ns,48
mergesort_par_n,,2,,,44626572.0,ns,49
mergesort_par_n,,2,,,45577462.0,ns,50
mergesort_par_n,,2,,,46811537.0,ns,51
mergesort_par_n,,2,,,47598462.0,ns,52
mergesort_par_n,,2,,,48053104.0,ns,53
mergesort_par_n,,2,,,48659368.0,ns,54
mergesort_par_n,,2,,,50380887.0,ns,55
mergesort_par_n,,2,,,52192824.0,ns,56
mergesort_par_n,,2,,,52364977.0,ns,57
mergesort_par_n,,2,,,53232251.0,ns,58
mergesort_par_n,,2,,,53988562.0,ns,59
mergesort_par_n,,2,,,54468871.0,ns,60
mergesort_par_n,,2,,,54976702.0,ns,61
mergesort_par_n,,2,,,57281846.0,ns,62
mergesort_par_n,,2,,,57936219.0,ns,63
mergesort_par_n,,2,,,58643827.0,ns,64
mergesort_par_n,,2,,,59228851.0,ns,65
mergesort_par_n,,2,,,60021704.0,ns,66
mergesort_par_n,,2,,,61657975.0,ns,67
mergesort_par_n,,2,,,62135994.0,ns,68
mergesort_par_n,,2,,,63899363.0,ns,69
mergesort_par_n,,2,,,64001554.0,ns,70
mergesort_par_n,,2,,,64958415.0,ns,71
mergesort_par_n,,2,,,66404156.0,ns,72
mergesort_par_n,,2,,,66686289.0,ns,73
mergesort_par_n,,2,,,67899006.0,ns,74
mergesort_par_n,,2,,,69476929.0,ns,75
mergesort_par_n,,2,,,69905994.0,ns,76
mergesort_par_n,,2,,,70623820.0,ns,77
mergesort_par_n,,2,,,71098946.0,ns,78
mergesort_par_n,,2,,,72112609.0,ns,79
mergesort_par_n,,2,,,73109678.0,ns,80
mergesort_par_n,,2,,,73182234.0,ns,81
mergesort_par_n,,2,,,71422323.0,ns,82
mergesort_par_n,,2,,,75954093.0,ns,83
mergesort_par_n,,2,,,76590972.0,ns,84
mergesort_par_n,,2,,,77748192.0,ns,85
mergesort_par_n,,2,,,77740730.0,ns,86
mergesort_par_n,,2,,,80883748.0,ns,87
mergesort_par_n,,2,,,80906486.0,ns,88
mergesort_par_n,,2,,,80325789.0,ns,89
mergesort_par_n,,2,,,80802560.0,ns,90
mergesort_par_n,,2,,,83339758.0,ns,91
mergesort_par_n,,2,,,85006296.0,ns,92
mergesort_par_n,,2,,,84698239.0,ns,93
mergesort_par_n,,2,,,86601744.0,ns,94
mergesort_par_n,,2,,,86904612.0,ns,95
mergesort_par_n,,2,,,87744822.0,ns,96
mergesort_par_n,,2,,,88061960.0,ns,97
mergesort_par_n,,2,,,89589947.0,ns,98
mergesort_par_n,,2,,,90958523.0,ns,99
mergesort_par_n,,2,,,92217685.0,ns,100
