group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mergesort_par_n,,7,,,812053.0,ns,1
mergesort_par_n,,7,,,1594474.0,ns,2
mergesort_par_n,,7,,,2483110.0,ns,3
mergesort_par_n,,7,,,3201847.0,ns,4
mergesort_par_n,,7,,,4087501.0,ns,5
mergesort_par_n,,7,,,4837821.0,ns,6
mergesort_par_n,,7,,,5631213.0,ns,7
mergesort_par_n,,7,,,6383071.0,ns,8
mergesort_par_n,,7,,,7126248.0,ns,9
mergesort_par_n,,7,,,7961940.0,ns,10
mergesort_par_n,,7,,,8844077.0,ns,11
mergesort_par_n,,7,,,9713761.0,ns,12
mergesort_par_n,,7,,,10333310.0,ns,13
mergesort_par_n,,7,,,11087639.0,ns,14
mergesort_par_n,,7,,,11983512.0,ns,15
mergesort_par_n,,7,,,12910994.0,ns,16
mergesort_par_n,,7,,,13649387.0,ns,17
mergesort_par_n,,7,,,14412329.0,ns,18
mergesort_par_n,,7,,,15239862.0,ns,19
mergesort_par_n,,7,,,15873945.0,ns,20
mergesort_par_n,,7,,,16826961.0,ns,21
mergesort_par_n,,7,,,17699221.0,ns,22
mergesort_par_n,,7,,,18443537.0,ns,23
mergesort_par_n,,7,,,19474881.0,ns,24
mergesort_par_n,,7,,,20402806.0,ns,25
mergesort_par_n,,7,,,21080705.0,ns,26
mergesort_par_n,,7,,,21438180.0,ns,27
mergesort_par_n,,7,,,22920595.0,ns,28
mergesort_par_n,,7,,,23374835.0,ns,29
mergesort_par_n,,7,,,24355738.0,ns,30
mergesort_par_n,,7,,,25822027.0,ns,31
mergesort_par_n,,7,,,26386601.0,ns,32
mergesort_par_n,,7,,,26888407.0,ns,33
mergesort_par_n,,7,,,27808909.0,ns,34
mergesort_par_n,,7,,,28417668.0,ns,35
mergesort_par_n,,7,,,29419473.0,ns,36
mergesort_par_n,,7,,,30435360.0,ns,37
mergesort_par_n,,7,,,30584340.0,ns,38
mergesort_par_n,,7,,,31859852.0,ns,39
mergesort_par_n,,7,,,32120366.0,ns,40
mergesort_par_n,,7,,,33307677.0,ns,41
mergesort_par_n,,7,,,33867710.0,ns,42
mergesort_par_n,,7,,,34973981.0,ns,43
mergesort_par_n,,7,,,35730776.0,ns,44
mergesort_par_n,,7,,,36641599.0,ns,45
mergesort_par_n,,7,,,37806639.0,ns,46
mergesort_par_n,,7,,,38234302.0,ns,47
mergesort_par_n,,7,,,39232097.0,ns,48
mergesort_par_n,,7,,,40215904.0,ns,49
mergesort_par_n,,7,,,40909199.0,ns,50
mergesort_par_n,,7,,,40994845.0,ns,51
mergesort_par_n,,7,,,42559627.0,ns,52
mergesort_par_n,,7,,,43071763.0,ns,53
mergesort_par_n,,7,,,44230164.0,ns,54
mergesort_par_n,,7,,,44645039.0,ns,55
mergesort_par_n,,7,,,45223138.0,ns,56
mergesort_par_n,,7,,,46111685.0,ns,57
mergesort_par_n,,7,,,47207615.0,ns,58
mergesort_par_n,,7,,,47919720.0,ns,59
mergesort_par_n,,7,,,48785152.0,ns,60
mergesort_par_n,,7,,,50018831.0,ns,61
mergesort_par_n,,7,,,50487375.0,ns,62
mergesort_par_n,,7,,,52061492.0,ns,63
mergesort_par_n,,7,,,52661447.0,ns,64
mergesort_par_n,,7,,,53134114.0,ns,65
mergesort_par_n,,7,,,54211938.0,ns,66
mergesort_par_n,,7,,,54454192.0,ns,67
mergesort_par_n,,7,,,55789737.0,ns,68
mergesort_par_n,,7,,,58994105.0,ns,69
mergesort_par_n,,7,,,58685364.0,ns,70
mergesort_par_n,,7,,,59004019.0,ns,71
mergesort_par_n,,7,,,60505275.0,ns,72
mergesort_par_n,,7,,,68247613.0,ns,73
mergesort_par_n,,7,,,62986195.0,ns,74
mergesort_par_n,,7,,,64428583.0,ns,75
mergesort_par_n,,7,,,63100153.0,ns,76
mergesort_par_n,,7,,,63771024.0,ns,77
mergesort_par_n,,7,,,64332806.0,ns,78
mergesort_par_n,,7,,,64673229.0,ns,79
mergesort_par_n,,7,,,65296445.0,ns,80
mergesort_par_n,,7,,,68441795.0,ns,81
mergesort_par_n,,7,,,74318111.0,ns,82
mergesort_par_n,,7,,,69250237.0,ns,83
mergesort_par_n,,7,,,69331350.0,ns,84
mergesort_par_n,,7,,,71067760.0,ns,85
mergesort_par_n,,7,,,73261111.0,ns,86
mergesort_par_n,,7,,,75636462.0,ns,87
mergesort_par_n,,7,,,71528809.0,ns,88
mergesort_par_n,,7,,,72327322.0,ns,89
mergesort_par_n,,7,,,73790603.0,ns,90
mergesort_par_n,,7,,,76113985.0,ns,91
mergesort_par_n,,7,,,75965060.0,ns,92
mergesort_par_n,,7,,,77269704.0,ns,93
mergesort_par_n,,7,,,77057915.0,ns,94
mergesort_par_n,,7,,,77803374.0,ns,95
mergesort_par_n,,7,,,78855038.0,ns,96
mergesort_par_n,,7,,,79531265.0,ns,97
mergesort_par_n,,7,,,80107347.0,ns,98
mergesort_par_n,,7,,,80947997.0,ns,99
mergesort_par_n,,7,,,81712489.0,ns,100
