group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parallel_merge_n,,5,,,1099641.0,ns,2
parallel_merge_n,,5,,,2120655.0,ns,4
parallel_merge_n,,5,,,3188502.0,ns,6
parallel_merge_n,,5,,,4127511.0,ns,8
parallel_merge_n,,5,,,5382809.0,ns,10
parallel_merge_n,,5,,,6377979.0,ns,12
parallel_merge_n,,5,,,7381998.0,ns,14
parallel_merge_n,,5,,,8404827.0,ns,16
parallel_merge_n,,5,,,9691347.0,ns,18
parallel_merge_n,,5,,,10702916.0,ns,20
parallel_merge_n,,5,,,11674874.0,ns,22
parallel_merge_n,,5,,,12989752.0,ns,24
parallel_merge_n,,5,,,13304255.0,ns,26
parallel_merge_n,,5,,,14942302.0,ns,28
parallel_merge_n,,5,,,15771728.0,ns,30
parallel_merge_n,,5,,,17011640.0,ns,32
parallel_merge_n,,5,,,17895976.0,ns,34
parallel_merge_n,,5,,,18881329.0,ns,36
parallel_merge_n,,5,,,19656012.0,ns,38
parallel_merge_n,,5,,,21267276.0,ns,40
parallel_merge_n,,5,,,22029028.0,ns,42
parallel_merge_n,,5,,,22899484.0,ns,44
parallel_merge_n,,5,,,24764315.0,ns,46
parallel_merge_n,,5,,,26205653.0,ns,48
parallel_merge_n,,5,,,26746986.0,ns,50
parallel_merge_n,,5,,,28058543.0,ns,52
parallel_merge_n,,5,,,28957479.0,ns,54
parallel_merge_n,,5,,,29579867.0,ns,56
parallel_merge_n,,5,,,30661834.0,ns,58
parallel_merge_n,,5,,,31644839.0,ns,60
parallel_merge_n,,5,,,33141529.0,ns,62
parallel_merge_n,,5,,,34612568.0,ns,64
parallel_merge_n,,5,,,33945693.0,ns,66
parallel_merge_n,,5,,,37229150.0,ns,68
parallel_merge_n,,5,,,37214459.0,ns,70
parallel_merge_n,,5,,,38616228.0,ns,72
parallel_merge_n,,5,,,38418166.0,ns,74
parallel_merge_n,,5,,,39356452.0,ns,76
parallel_merge_n,,5,,,40620190.0,ns,78
parallel_merge_n,,5,,,40900204.0,ns,80
parallel_merge_n,,5,,,41837990.0,ns,82
parallel_merge_n,,5,,,44808027.0,ns,84
parallel_merge_n,,5,,,45506199.0,ns,86
parallel_merge_n,,5,,,46641495.0,ns,88
parallel_merge_n,,5,,,47148093.0,ns,90
parallel_merge_n,,5,,,47696821.0,ns,92
parallel_merge_n,,5,,,47863059.0,ns,94
parallel_merge_n,,5,,,50922671.0,ns,96
parallel_merge_n,,5,,,51883780.0,ns,98
parallel_merge_n,,5,,,52194926.0,ns,100
parallel_merge_n,,5,,,53399898.0,ns,102
parallel_merge_n,,5,,,53661869.0,ns,104
parallel_merge_n,,5,,,56450997.0,ns,106
parallel_merge_n,,5,,,57283044.0,ns,108
parallel_merge_n,,5,,,58980388.0,ns,110
parallel_merge_n,,5,,,58187892.0,ns,112
parallel_merge_n,,5,,,59281822.0,ns,114
parallel_merge_n,,5,,,61081717.0,ns,116
parallel_merge_n,,5,,,62420118.0,ns,118
parallel_merge_n,,5,,,62499738.0,ns,120
parallel_merge_n,,5,,,63810116.0,ns,122
parallel_merge_n,,5,,,64419619.0,ns,124
parallel_merge_n,,5,,,66462924.0,ns,126
parallel_merge_n,,5,,,67574392.0,ns,128
parallel_merge_n,,5,,,68310486.0,ns,130
parallel_merge_n,,5,,,69219508.0,ns,132
parallel_merge_n,,5,,,71745703.0,ns,134
parallel_merge_n,,5,,,71271938.0,ns,136
parallel_merge_n,,5,,,74239067.0,ns,138
parallel_merge_n,,5,,,73279559.0,ns,140
parallel_merge_n,,5,,,76075729.0,ns,142
parallel_merge_n,,5,,,75318143.0,ns,144
parallel_merge_n,,5,,,75073118.0,ns,146
parallel_merge_n,,5,,,77345712.0,ns,148
parallel_merge_n,,5,,,79061306.0,ns,150
parallel_merge_n,,5,,,80002622.0,ns,152
parallel_merge_n,,5,,,81613741.0,ns,154
parallel_merge_n,,5,,,81978434.0,ns,156
parallel_merge_n,,5,,,83490934.0,ns,158
parallel_merge_n,,5,,,83202276.0,ns,160
parallel_merge_n,,5,,,86073689.0,ns,162
parallel_merge_n,,5,,,86045234.0,ns,164
parallel_merge_n,,5,,,87689843.0,ns,166
parallel_merge_n,,5,,,89117104.0,ns,168
parallel_merge_n,,5,,,90611626.0,ns,170
parallel_merge_n,,5,,,88493892.0,ns,172
parallel_merge_n,,5,,,90189336.0,ns,174
parallel_merge_n,,5,,,91967907.0,ns,176
parallel_merge_n,,5,,,93791790.0,ns,178
parallel_merge_n,,5,,,94602640.0,ns,180
parallel_merge_n,,5,,,95942268.0,ns,182
parallel_merge_n,,5,,,97235053.0,ns,184
parallel_merge_n,,5,,,97203693.0,ns,186
parallel_merge_n,,5,,,99041967.0,ns,188
parallel_merge_n,,5,,,98782154.0,ns,190
parallel_merge_n,,5,,,98604275.0,ns,192
parallel_merge_n,,5,,,100378891.0,ns,194
parallel_merge_n,,5,,,102612561.0,ns,196
parallel_merge_n,,5,,,106402671.0,ns,198
parallel_merge_n,,5,,,105959405.0,ns,200
